name,description,service,did,request_header,response_header,request,response_prefix,module,bus,response_length,byte_positions,byte_order,signed,multiplier,divisor,offset,equation,units,vehicles,platform,engine,transmission,session_required,security_required,confidence,status,source_count,validation_method,notes
Calculated airflow candidate,GM enhanced calculated airflow,22,11AC,7E0,7E8,2211AC,6211AC,ECM,HS-CAN,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,GM candidates,C1XX/GM,LGX,9T65,default,no,Experimental,ready_to_test,1,Compare MAF 0110,Formula uncertain
Accelerator pedal candidate,GM enhanced accelerator pedal,22,12B4,7E0,7E8,2212B4,6212B4,ECM,HS-CAN,unknown,unknown,unknown,false,100,255,0,A*100/255 translated after response,%,GM candidates,C1XX/GM,LGX,9T65,default,no,Experimental,ready_to_test,1,Pedal sweep and compare 015A,Formula/byte uncertain
BCM door DID candidate,Possible BCM door status register,22,2122,241,641,222122,622122,BCM,body diagnostic,unknown,unknown,unknown,false,unknown,unknown,unknown,bitmask unknown,state,GM C1XX candidate,C1XX,any,any,default,no,Rejected,rejected_on_enclave,2,Rejected by live response,Live Enclave 2026-08-06 on confirmed BCM route returned 641 03 7F 22 31; do not pursue without stronger source
Oil life alternate service 1A,Confirmed Enclave oil life,1A,6D,7E0,7E8,1A6D,5A6D,ECM,HS-CAN,4,B3,byte,false,100,256,0,B3*100/256,%,2022 Buick Enclave,C1XX,LGX,9T65,default,no,Confirmed,confirmed_live,2,Compare dash oil life,Live Enclave 2026-08-06 returned 7E8 03 5A 6D 57 decoded as 33.98 percent and dash showed 34 percent
Shifter position 1951,GM shifter position lead,22,1951,7E0,7E8,221951,621951,ECM/TCM,HS-CAN,unknown,B4 translated,byte,false,1,1,0,B4,enum,GM public PID lead,GM,unknown,unknown,default,no,Rejected,rejected_on_enclave,2,Park baseline rejected,Live Enclave 2026-08-06 returned 7E8 03 7F 22 31 in Park
Current gear 199A,GM current gear lead,22,199A,7E0,7E8,22199A,62199A,ECM/TCM,HS-CAN,unknown,B4 translated,byte,false,1,1,0,B4,gear,GM public PID lead,GM,unknown,unknown,default,no,Rejected,rejected_on_enclave,4,Park baseline rejected,Live Enclave 2026-08-06 returned 7E8 03 7F 22 31 in Park
Current gear 1B30,OBDb Chevrolet current gear lead,22,1B30,unknown/DA18,unknown,221B30,621B30,TCM,diagnostic route unknown,unknown,unknown,unknown,false,unknown,unknown,unknown,unknown,gear,2019 Chevrolet Impala OBDb lead,GM,unknown,unknown,unknown,unknown,Experimental,research_lead_not_quick_test,1,Do not test until route/header is understood,OBDb structured command maps DA18.221B30 to CHEVROLET_CURRENT_GEAR/CHEVROLET_GEAR; not Enclave-specific
Torque converter slip 1991,OBDb Chevrolet TCC slip/VSS lead,22,1991,unknown/DA18,unknown,221991,621991,TCM,diagnostic route unknown,unknown,unknown,unknown,false,unknown,unknown,unknown,unknown,rpm,2019 Chevrolet Impala OBDb lead,GM,unknown,unknown,unknown,unknown,Experimental,research_lead_not_quick_test,1,Do not test until route/header is understood,OBDb structured command maps DA18.2AF118.221991 to CHEVROLET_TC_SLIP_VSS; GM 20-NA-136 confirms TCC slip is useful scan-tool value
Transmission fluid temperature filtered 295A,OBDb Chevrolet filtered TFT lead,22,295A,unknown/DA18,unknown,22295A,62295A,TCM,diagnostic route unknown,unknown,unknown,unknown,false,unknown,unknown,unknown,unknown,C,2019 Chevrolet Impala OBDb lead,GM,unknown,unknown,unknown,unknown,Experimental,research_lead_not_quick_test,1,Do not test until route/header is understood,OBDb structured command maps DA18.2AF118.22295A to CHEVROLET_TF_T_FLTED; fallback research only
Oil pressure calculated 1C1B,OBDb Traverse calculated engine oil pressure,22,1C1B,7E0,7E8,221C1B,621C1B,ECM,HS-CAN,5,B4,byte,false,unknown,unknown,unknown,unknown,unknown,2023 Chevrolet Traverse raw test case,C1XX,unknown,unknown,default,no,Rejected,implausible_live,2,Engine running should not show zero pressure,Live Enclave 2026-08-06 returned 7E8 04 62 1C 1B 00 while running; do not use
Oil pressure absolute 2344,OBDb Traverse absolute engine oil pressure,22,2344,7E0,7E8,222344,622344,ECM,HS-CAN,5,B4,byte,false,unknown,unknown,unknown,unknown,unknown,2023 Chevrolet Traverse raw test case,C1XX,unknown,unknown,default,no,Rejected,implausible_live,2,Engine running should not show zero pressure,Live Enclave 2026-08-06 returned 7E8 04 62 23 44 00 while running; do not use
Oil pressure 2345,OBDb Traverse engine oil pressure,22,2345,7E0,7E8,222345,622345,ECM,HS-CAN,5,B4,byte,false,unknown,unknown,unknown,unknown,unknown,2023 Chevrolet Traverse raw test case,C1XX,unknown,unknown,default,no,Rejected,implausible_live,2,Engine running should not show zero pressure,Live Enclave 2026-08-06 returned 7E8 04 62 23 45 00 while running; do not use
Enhanced runtime 11A1,OBDb Traverse enhanced engine runtime,22,11A1,7E0,7E8,2211A1,6211A1,ECM,HS-CAN,6,B4:B5,big,false,1,1,0,[B4:B5],s,2023 Chevrolet Traverse raw test case,C1XX,unknown,unknown,default,no,Possible,extended_test,2,Compare standard 011F and monotonic increase,OBDb Traverse raw cases confirm 0000 as 0 and 24FF as 9471 seconds; useful for response-byte validation
Total misfire current,OBDb Traverse total current misfire counter,22,1200,7E0,7E8,221200,621200,ECM,HS-CAN,5,B4,byte,false,1,1,0,B4,count,2023 Chevrolet Traverse raw test case,C1XX,unknown,unknown,default,no,Possible,extended_test,1,Idle warm-up should remain zero on healthy engine,OBDb Traverse raw cases confirm 00 as 0 and 02 as 2; diagnostic value only
Cylinder 1 current misfires,OBDb Traverse cylinder 1 current misfire counter,22,1206,7E0,7E8,221206,621206,ECM,HS-CAN,5,B4,byte,false,1,1,0,B4,count,2023 Chevrolet Traverse raw test case,C1XX,unknown,unknown,default,no,Possible,extended_test,1,Idle warm-up should remain zero on healthy engine,OBDb Traverse raw cases confirm 00 as 0 and 02 as 2; diagnostic value only
Cylinder 2 current misfires,OBDb Traverse cylinder 2 current misfire counter,22,1205,7E0,7E8,221205,621205,ECM,HS-CAN,5,B4,byte,false,1,1,0,B4,count,2023 Chevrolet Traverse raw test case,C1XX,unknown,unknown,default,no,Possible,extended_test,1,Idle warm-up should remain zero on healthy engine,OBDb Traverse raw cases confirm 00 as 0 and 02 as 2; diagnostic value only
Cylinder 3 current misfires,OBDb Traverse cylinder 3 current misfire counter,22,1207,7E0,7E8,221207,621207,ECM,HS-CAN,5,B4,byte,false,1,1,0,B4,count,2023 Chevrolet Traverse raw test case,C1XX,unknown,unknown,default,no,Possible,extended_test,1,Idle warm-up should remain zero on healthy engine,OBDb Traverse raw cases confirm 00 as 0 and 02 as 2; diagnostic value only
Cylinder 4 current misfires,OBDb Traverse cylinder 4 current misfire counter,22,1208,7E0,7E8,221208,621208,ECM,HS-CAN,5,B4,byte,false,1,1,0,B4,count,2023 Chevrolet Traverse raw test case,C1XX,unknown,unknown,default,no,Possible,extended_test,1,Idle warm-up should remain zero on healthy engine,OBDb Traverse raw cases confirm 00 as 0 and 02 as 2; diagnostic value only
Cylinder 5 current misfires,OBDb Traverse cylinder 5 current misfire counter,22,11EA,7E0,7E8,2211EA,6211EA,ECM,HS-CAN,5,B4,byte,false,1,1,0,B4,count,2023 Chevrolet Traverse raw test case,C1XX,unknown,unknown,default,no,Possible,extended_test,1,Idle warm-up should remain zero on healthy engine,OBDb Traverse raw cases confirm 00 as 0 and 02 as 2; diagnostic value only
Cylinder 6 current misfires,OBDb Traverse cylinder 6 current misfire counter,22,11EB,7E0,7E8,2211EB,6211EB,ECM,HS-CAN,5,B4,byte,false,1,1,0,B4,count,2023 Chevrolet Traverse raw test case,C1XX,unknown,unknown,default,no,Possible,extended_test,1,Idle warm-up should remain zero on healthy engine,OBDb Traverse raw case confirms 00 as 0; diagnostic value only
Injector duty cycle bank 1,OBDb Traverse injector duty cycle bank 1,22,12C3,7E0,7E8,2212C3,6212C3,ECM,HS-CAN,6,B4:B5,big,false,0.015,1,0,[B4:B5]*0.015,%,2023 Chevrolet Traverse raw test case,C1XX,unknown,unknown,default,no,Possible,extended_test,1,Idle and light throttle behavior,OBDb Traverse raw cases confirm 00B3 as 2.685 percent; diagnostic value only
Injector duty cycle bank 2,OBDb Traverse injector duty cycle bank 2,22,12C4,7E0,7E8,2212C4,6212C4,ECM,HS-CAN,6,B4:B5,big,false,0.015,1,0,[B4:B5]*0.015,%,2023 Chevrolet Traverse raw test case,C1XX,unknown,unknown,default,no,Possible,extended_test,1,Idle and light throttle behavior,OBDb Traverse raw cases confirm 00BA as 2.79 percent and 010F as 4.065 percent; diagnostic value only
Total knock retard,OBDb Traverse total knock retard,22,12D9,7E0,7E8,2212D9,6212D9,ECM,HS-CAN,5,B4,byte,false,0.45,1,0,B4*0.45,degrees,2023 Chevrolet Traverse raw test case,C1XX,unknown,unknown,default,no,Possible,extended_test,1,Compare with 2211A6 and load behavior,OBDb Traverse raw cases confirm 00 as 0 degrees and 20 as 14.4 degrees
Cooling fan motor command,OBDb Traverse cooling fan motor command,22,13AF,7E0,7E8,2213AF,6213AF,ECM,HS-CAN,5,B4,byte,false,100,255,0,B4*100/255,%,2023 Chevrolet Traverse raw test case,C1XX,unknown,unknown,default,no,Possible,extended_test,1,Warm-up or A/C on should increase command if supported,OBDb Traverse raw cases confirm 48 as 28.235 percent
Cooling fan command,OBDb Traverse cooling fan command,22,3812,7E0,7E8,223812,623812,ECM,HS-CAN,5,B4,byte,false,100,255,0,B4*100/255,%,2023 Chevrolet Traverse raw test case,C1XX,unknown,unknown,default,no,Possible,extended_test,1,Warm-up or A/C on should increase command if supported,OBDb Traverse raw cases confirm 48 as 28.235 percent
Oil pressure control solenoid command,OBDb Traverse oil pressure control solenoid valve command,22,3318,7E0,7E8,223318,623318,ECM,HS-CAN,5,B4,byte,false,unknown,unknown,unknown,unknown,unknown,2023 Chevrolet Traverse raw test case,C1XX,unknown,unknown,default,no,Experimental,extended_test,1,Record raw only and compare oil-pressure candidates,OBDb Traverse raw case decodes 11 as 0 but formula is unclear; do not use for alerts
Air filter life,Confirmed Enclave engine air filter life,22,36A7,7E0,7E8,2236A7,6236A7,ECM,HS-CAN,6,B4,byte,false,1,1,0,B4,%,2022 Buick Enclave,C1XX,LGX,9T65,default,no,Confirmed,confirmed_live,1,Compare dash air filter life,Live Enclave 2026-08-06 returned 7E8 05 62 36 A7 55 10; raw B4 0x55 equals 85 and dash showed 85 percent
